Area	total	total_male	total_female	urban_all	urban_male	urban_female	rural_all	rural_male	rural_female	ID
მცხეთის  მუნიციპალიტეტი	47711	24454	23257				47711	24454	23257	27
თეთრი წყაროს მუნიციპალიტეტი	21127	10335	10792	4534	2102	2432	16593	8233	8360	26
წალკის მუნიციპალიტეტი	18849	9395	9454	3039	1517	1522	15810	7878	7932	25
დმანისის მუნიციპალიტეტი 	19141	9579	9562	2661	1276	1385	16480	8303	8177	24
ბოლნისის მუნიციპალიტეტი	53590	26804	26786	13817	6588	7229	39773	20216	19557	23
მარნეულის მუნიციპალიტეტი	104300	52416	51884	20211	9903	10308	84089	42513	41576	22
გარდაბნის მუნიციპალიტეტი	81876	40144	41732	10753	5150	5603	71123	34994	36129	21
ქ. რუსთავი 	125103	59859	65244	125103	59859	65244				20
თიანეთის მუნიციპალიტეტი	9468	4828	4640	2850	1421	1429	6618	3407	3211	19
ახმეტის მუნიციპალიტეტი	31461	15632	15829	7105	3480	3625	24356	12152	12204	18
ქ. თელავი	19629	8968	10661	19629	8968	10661				17
თელავის მუნიციპალიტეტი	38721	19134	19587				38721	19134	19587	17
ყვარლის მუნიციპალიტეტი	29827	14728	15099	7739	3730	4009	22088	10998	11090	16
ლაგოდეხის მუნიციპალიტეტი	41678	20953	20725	5918	2752	3166	35760	18201	17559	15
დედოფლისწყაროს მუნიციპალიტეტი	21221	10183	11038	5940	2746	3194	15281	7437	7844	14
სიღნაღის მუნიციპალიტეტი 	29948	14169	15779	6300	2908	3392	23648	11261	12387	13
გურჯაანის მუნიციპალიტეტი	54337	26352	27985	8024	3728	4296	46313	22624	23689	12
საგარეჯოს მუნიციპალიტეტი	51761	26035	25726	10871	5154	5717	40890	20881	20009	11
გლდანის რაიონი	177214			173545			3669			10
ნაძალადევის რაიონი	154067			154067						9
დიდუბის რაიონი	70018			70018						8
ჩუღურეთის რაიონი	65230			65230						7
სამგორის რაიონი	177844			171391			6453			6
ისნის რაიონი	125610			125610						5
კრწანისის რაიონი	39286			34834			4452			4
საბურთალოს რაიონი	138493			130652			7841			3
ვაკის რაიონი	111903			111244			659			2
მთაწმინდის რაიონი	49052			41714			7338			1
საქართველო	3713804	1772864	1940940	2122623	980985	1141638	1591181	791879	799302	
ქ. თბილისი	1108717	502890	605827	1078297	488205	590092	30420	14685	15735	
აჭარის ავტონომიური რესპუბლიკა	333953	162928	171025	184774	88197	96577	149179	74731	74448	
იმერეთი	533906	258598	275308	258510	121002	137508	275396	137596	137800	
შიდა ქართლი	263382	128282	135100	105211	49538	55673	158171	78744	79427	
