Prec_ID	Settype	District_name	District	Precint	Attached	Total_Voters	Special_voters	Turnout12	Turnout17	Turnout	Free_georgia	NDP	UNM	Just_georgia	CDM	Popular_movement	Freedom_Zviadi	Georgian_troupe	New_rights	Peoples_party	Kostava_society	Future_georgia	Georgian_workers	Labor	Sportsmens_union	GDC	Annulled
81002	Medium (15-40K)	ქობულეთის	81	2		1100	8	230	531	592	2	0	171	1	13	0	0	0	2	0	0	0	0	5	0	386	12
81003	Medium (15-40K)	ქობულეთის	81	3		1041	9	260	501	570	1	0	157	1	8	0	0	1	1	0	0	0	0	3	0	365	33
81004	Medium (15-40K)	ქობულეთის	81	4		1043	6	247	616	688	2	1	123	0	9	0	0	1	2	0	0	0	0	6	0	517	23
81005	Medium (15-40K)	ქობულეთის	81	5		1148	10	330	603	695	0	0	212	7	12	0	0	0	2	0	0	0	0	2	0	450	10
81006	Medium (15-40K)	ქობულეთის	81	6		705	7	191	441	484	1	0	131	0	9	1	0	0	0	0	0	2	0	2	0	330	7
81007	Medium (15-40K)	ქობულეთის	81	7		1220	7	310	643	727	4	0	162	1	6	0	0	1	0	0	1	0	1	8	0	517	20
81008	Medium (15-40K)	ქობულეთის	81	8		810	2	209	451	477	3	0	124	1	0	0	0	0	0	0	0	0	0	3	0	336	10
81009	Medium (15-40K)	ქობულეთის	81	9		1300	4	360	812	877	1	0	208	1	4	0	0	1	1	0	0	2	0	5	0	629	23
81010	Medium (15-40K)	ქობულეთის	81	10		1386	7	372	806	932	0	0	280	3	16	0	0	0	0	0	1	0	0	4	0	600	28
81011	Medium (15-40K)	ქობულეთის	81	11		1183	3	284	520	638	1	3	393	0	24	0	0	0	0	0	0	0	0	9	0	192	16
81012	Medium (15-40K)	ქობულეთის	81	12		1497	2	390	790	914	0	4	541	1	28	1	0	0	12	0	0	0	0	11	0	297	19
81013	Rural	ქობულეთის	81	13		970	1	246	525	575	1	0	181	0	28	0	2	0	0	0	1	0	0	8	0	337	17
81014	Small-Medium(5-15K)	ქობულეთის	81	14		1271	2	210	0	689	2	3	272	0	32	0	0	0	1	0	0	0	0	10	0	352	16
81015	Small-Medium(5-15K)	ქობულეთის	81	15		1534	8	279	626	779	1	3	272	5	21	0	1	0	1	0	0	5	0	9	1	440	18
81016	Small-Medium(5-15K)	ქობულეთის	81	16		312	9	85	134	166	0	0	63	0	3	0	0	0	2	0	0	0	0	2	0	90	6
81017	Small-Medium(5-15K)	ქობულეთის	81	17		1323	3	405	690	747	0	0	346	0	28	0	0	0	6	0	0	0	0	10	0	349	10
81018	Rural	ქობულეთის	81	18		691	2	205	442	489	0	1	225	1	17	0	0	0	0	0	0	0	0	7	0	229	9
81019	Rural	ქობულეთის	81	19		1321	2	448	780	877	5	0	256	3	14	0	0	0	0	0	0	0	0	3	0	575	20
81020	Rural	ქობულეთის	81	20		1121	2	258	634	770	0	1	363	2	17	0	1	0	0	0	0	0	0	8	0	355	23
81021	Rural	ქობულეთის	81	21		1538	2	327	685	802	1	1	265	6	31	0	1	0	4	0	1	1	0	16	3	457	12
81022	Rural	ქობულეთის	81	22		1208	6	290	598	672	0	0	237	0	15	0	0	0	0	0	0	0	0	8	0	384	28
81023	Rural	ქობულეთის	81	23		1347	3	346	820	921	5	3	435	0	16	1	0	2	1	0	0	0	0	11	0	425	22
81024	Rural	ქობულეთის	81	24		1363	6	343	547	583	0	3	296	0	18	0	0	0	0	0	0	0	0	9	0	240	17
81025	Rural	ქობულეთის	81	25		723	1	146	408	506	2	2	226	1	16	1	0	0	0	1	0	0	0	3	0	239	14
81026	Rural	ქობულეთის	81	26		1273	5	272	596	680	1	1	249	0	9	0	0	0	2	0	0	0	0	9	1	375	14
81027	Rural	ქობულეთის	81	27		1504	2	303	611	738	1	0	308	2	15	0	0	1	0	0	0	0	0	8	0	358	45
81028	Rural	ქობულეთის	81	28		578	4	99	218	283	1	0	148	1	12	0	0	0	0	0	0	0	0	3	0	113	5
81029	Rural	ქობულეთის	81	29		1586	9	395	738	905	3	1	413	2	12	0	0	0	1	0	0	0	0	16	0	431	26
81030	Rural	ქობულეთის	81	30		1474	2	211	599	692	1	0	275	2	7	0	0	0	3	1	0	0	0	7	0	385	11
81031	Rural	ქობულეთის	81	31		1061	9	247	563	676	0	0	287	2	2	0	0	0	0	0	0	0	0	9	1	355	20
81032	Rural	ქობულეთის	81	32		1166	4	256	579	813	1	2	341	0	15	0	0	1	1	0	0	0	1	7	0	435	8
81033	Rural	ქობულეთის	81	33		671	2	210	405	449	0	0	214	1	12	0	0	0	0	0	0	0	0	3	0	143	75
81034	Rural	ქობულეთის	81	34		1168	3	227	440	506	0	2	253	3	9	0	0	0	0	0	0	0	0	8	0	213	18
81035	Rural	ქობულეთის	81	35		934	3	193	454	548	0	0	186	3	12	0	0	0	0	0	0	0	0	11	0	312	24
81036	Rural	ქობულეთის	81	36		1244	3	301	607	754	0	0	351	0	23	0	0	0	1	0	0	0	0	25	0	337	17
81037	Rural	ქობულეთის	81	37		212	4	85	140	154	0	0	80	0	3	0	0	0	0	0	0	0	0	1	0	65	5
